Name	Fl	Inventory	Index	BirthCountry	WorkCountry	Ethnicity	Woman
Cudworth, Ralph	1657	Philosophy	0.90	Britain	Britain	English	0
Cui, César	1875	Music	2.94	Russia	Russia	Slavic	0
Cuyp, Aelbert	1660	Art	4.05	Netherlands	Netherlands	Dutch	0
Cyrano de Bergerac, Savinien	1655	Literature	4.37	France	France	French	0
d’Alembert, Jean	1757	Literature	4.24	France	France	French	0
D’Anglebert, Jean	1675	Music	1.42	France	France	French	0
d’Annunzio, Gabriele	1903	Literature	13.59	Italy	Italy	Italian	0
d’Urfe, Honore	1607	Literature	5.61	France	France	French	0
Daguerre, Louis	1827	Art	3.77	France	France	French	0
Dalayrac, Nicolas	1793	Music	1.39	France	France	French	0
Dali, Salvador	1944	Art	14.28	Spain	Spain	Spanish	0
Dalin, Olaf von	1748	Literature	1.92	Sweden	Sweden	Swedish	0
Dall’Abaco, Evaristo	1715	Music	1.00	Italy	Germany	Italian	0
Dallapiccola, Luigi	1944	Music	7.19	Italy	Italy	Italian	0
Dandrieu, Jean	1722	Music	1.00	France	France	French	0
Dante Alighieri	1305	Literature	62.50	Italy	Italy	Italian	0
Daquin, Louis	1734	Music	1.00	France	France	French	0
Dargomïzhsky, Alexander	1853	Music	3.31	Russia	Russia	Slavic	0
Daubigny, Charles	1857	Art	3.12	France	France	French	0
Daudet, Louis 	1880	Literature	8.41	France	France	French	0
Daumier, Honore	1850	Art	20.13	France	France	French	0
David, Félicien 	1850	Music	1.44	France	France	French	0
David, Gerard (Gheeraert)	1500	Art	2.48	Netherlands	Netherlands	Dutch	0
David, Jacques	1788	Art	25.69	France	France	French	0
De la Mare, Walter	1913	Literature	1.67	Britain	Britain	English	0
De Quincey, Thomas 	1825	Literature	4.99	Britain	Britain	English	0
Debussy, Claude	1902	Music	45.36	France	France	French	0
Defoe, Daniel	1700	Literature	15.09	Britain	Britain	English	0
Degas, Edgar	1874	Art	30.98	France	France	French	0
